Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 5),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Unknown],SKU [Unknown],Packaging [Unknown],Unit Price (@ Batch Size: 5) [Unknown],Line Total [Unknown],Batch Total [Unknown],In Stock [Unknown],MOQ [Unknown],URL [Unknown],Notes
3,s04b-sz,JST,S04B-SZ,https://octopart.com/s04b-sz-jst-87088753,I2C,,,15,,,,,,,,,,,,,,,,,,,Quest,S04B-SZ,,0.45,1.35,6.75,6169,1,https://octopart.com/click/track?ak=39ac400e&sig=037ab72&sid=2412&ppid=87088753&vpid=482049895&ct=offers,
1,210-4ES,CTS Components,210-4ES,https://octopart.com/210-4es-cts+components-19788403,DIP SWITCH,,,5,210-4ES-ND,,774-210-4ES,Tube,,Tube,,,0.55,0,,951,1035,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0574c76&sid=459&ppid=19788403&vpid=36648375&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0b4f19b&sid=2401&ppid=19788403&vpid=409810426&ct=offers,Mouser,774-210-4ES,Tube,0.55,0.55,2.75,951,1,https://octopart.com/click/track?ak=39ac400e&sig=0b4f19b&sid=2401&ppid=19788403&vpid=409810426&ct=offers,
1,67997-410HLF,FCI,67997-410HLF,https://octopart.com/67997-410hlf-fci-40508580,JTAG HEADER,,,5,609-3243-ND,,649-67997-410HLF,Bag,,Bulk,0.27,,0.28,46572,,13595,1,,1,https://octopart.com/click/track?ak=39ac400e&sig=0a9bb48&sid=459&ppid=40508580&vpid=531264087&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0ae6946&sid=2401&ppid=40508580&vpid=114998233&ct=offers,Onlinecomponents.com,67997-410HLF,Bulk,0.116,0.116,0.5800000000000001,2400,1,https://octopart.com/click/track?ak=39ac400e&sig=02293c4&sid=2429&ppid=40508580&vpid=472616794&ct=offers,
1,68602-406HLF,FCI,68602-406HLF,https://octopart.com/68602-406hlf-fci-40658666,ISP HEADER,,,5,609-4934-ND,,649-68602-406HLF,Bulk,,Bulk,0.24,,0.24,10814,,2943,1,,1,https://octopart.com/click/track?ak=39ac400e&sig=0b14499&sid=459&ppid=40658666&vpid=531333018&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0a64241&sid=2401&ppid=40658666&vpid=114998247&ct=offers,Onlinecomponents.com,68602-406HLF,Bulk,0.1,0.1,0.5,3781,1,https://octopart.com/click/track?ak=39ac400e&sig=0de49ec&sid=2429&ppid=40658666&vpid=472616949&ct=offers,
4,CFR-25JT-52-68R,Yageo,CFR-25JT-52-68R,https://octopart.com/cfr-25jt-52-68r-yageo-16252182,"R1, R2, R4, R5",,,20,CFR-25JT-52-68R-ND,,603-CFR-25JT-52-68R,Tape & Box,,,,,0.046,0,,9333,5000,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=068c3e6&sid=459&ppid=16252182&vpid=480678732&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=00c3c1e&sid=2401&ppid=16252182&vpid=455481134&ct=offers,Mouser,603-CFR-25JT-52-68R,,0.046,0.184,0.9199999999999999,9333,1,https://octopart.com/click/track?ak=39ac400e&sig=00c3c1e&sid=2401&ppid=16252182&vpid=455481134&ct=offers,
1,LTL-4222,Lite-On,LTL-4222,https://octopart.com/ltl-4222-lite-on-869424,PWR,,,5,LTL-4222-ND,,859-LTL-4222,Bag,,Bulk,,,0.12,0,,5889,5000,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=028a3c2&sid=459&ppid=869424&vpid=49309779&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0c1aafa&sid=2401&ppid=869424&vpid=37629764&ct=offers,Mouser,859-LTL-4222,Bulk,0.12,0.12,0.6,5889,1,https://octopart.com/click/track?ak=39ac400e&sig=0c1aafa&sid=2401&ppid=869424&vpid=37629764&ct=offers,
1,LTL-4232,Lite-On,LTL-4232,https://octopart.com/ltl-4232-lite-on-868849,ACT,,,5,160-1960-ND,,859-LTL-4232,Bag,,Bulk,,,0.12,0,,4117,5000,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0de0378&sid=459&ppid=868849&vpid=57498122&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=05237f8&sid=2401&ppid=868849&vpid=37629135&ct=offers,Mouser,859-LTL-4232,Bulk,0.12,0.12,0.6,4117,1,https://octopart.com/click/track?ak=39ac400e&sig=05237f8&sid=2401&ppid=868849&vpid=37629135&ct=offers,
1,SR595C104KARTR1,AVX,SR595C104KARTR1,https://octopart.com/sr595c104kartr1-avx-2348402,C3,,,5,SR595C104KARTR1-ND,,581-SR595C104KARTR1,Tape & Reel,,,,,0.24,0,,2247,3000,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=08999a8&sid=459&ppid=2348402&vpid=46976931&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=07211a6&sid=2401&ppid=2348402&vpid=254307596&ct=offers,Mouser,581-SR595C104KARTR1,,0.24,0.24,1.2,2247,1,https://octopart.com/click/track?ak=39ac400e&sig=07211a6&sid=2401&ppid=2348402&vpid=254307596&ct=offers,
2,SR151A200JAR,AVX,SR151A200JAR,https://octopart.com/sr151a200jar-avx-20091099,"C1, C2",,,10,478-7724-ND,,581-SR151A200JAR,Bulk,,Bulk,0.32,,0.39,1857,,6819,1,,1,https://octopart.com/click/track?ak=39ac400e&sig=0b85164&sid=459&ppid=20091099&vpid=56325588&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0a7cb00&sid=2401&ppid=20091099&vpid=37932527&ct=offers,Newark,27T6051,,0.085,0.17,0.8500000000000001,4560,1,https://octopart.com/click/track?ak=39ac400e&sig=072af79&sid=2402&ppid=20091099&vpid=230042456&ct=offers,
1,FK18X5R1A475K,TDK,FK18X5R1A475K,https://octopart.com/fk18x5r1a475k-tdk-21525622,C4,,,5,445-8404-ND,,,Bulk,,,0.32,,,3995,,,1,,,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0de941f&sid=459&ppid=21525622&vpid=45682183&ct=offers,,,Digi-Key,445-8404-ND,Bulk,0.32,0.32,1.6,3995,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0de941f&sid=459&ppid=21525622&vpid=45682183&ct=offers,
2,PEC12R-4217F-N0024,Bourns,PEC12R-4217F-N0024,https://octopart.com/pec12r-4217f-n0024-bourns-26648364,ENCODERS,,,10,PEC12R-4217F-N0024-ND,PEC12R-4217F-N0024,652-PEC12R-4217F-N24,Tray,,Tray,0.891,0.6052,0.841,649,51,424,1,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0f4b564&sid=459&ppid=26648364&vpid=104702136&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0f2a959&sid=1106&ppid=26648364&vpid=473161599&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0dee641&sid=2401&ppid=26648364&vpid=99841265&ct=offers,"Arrow Electronics, Inc.",PEC12R-4217F-N0024,,0.6052,1.2104,6.052,51,1,https://octopart.com/click/track?ak=39ac400e&sig=0f2a959&sid=1106&ppid=26648364&vpid=473161599&ct=offers,
1,CFR-25JT-52-1K5,Yageo,CFR-25JT-52-1K5,https://octopart.com/cfr-25jt-52-1k5-yageo-16252146,R3,,,5,CFR-25JT-52-1K5-ND,,603-CFR-25JT-52-1K5,Tape & Box,,,,,0.1,0,,8292,5000,,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=0ea2cf9&sid=459&ppid=16252146&vpid=480678638&ct=offers,,https://octopart.com/click/track?ak=39ac400e&sig=0ddb4d2&sid=2401&ppid=16252146&vpid=453183401&ct=offers,Mouser,603-CFR-25JT-52-1K5,,0.1,0.1,0.5,8292,1,https://octopart.com/click/track?ak=39ac400e&sig=0ddb4d2&sid=2401&ppid=16252146&vpid=453183401&ct=offers,
